property_id,property_russian,canonical_name,category_russian,category,canonical_unit,unit_rule,description
exchangeable_acidity,обменная кислотность,exchangeable acidity,кислотно-основные,acid_base,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
exchangeable_hydrogen,обменный водород,exchangeable hydrogen,кислотно-основные,acid_base,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ph_h2o,pH водной вытяжки,pH in water,кислотно-основные,acid_base,pH,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
ph_kcl,pH солевой (KCl) вытяжки,pH in KCl,кислотно-основные,acid_base,pH,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ph_unspecified,pH (экстрагент не указан автором),pH (method unspecified),кислотно-основные,acid_base,pH,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Source reports pH but does not identify the extractant; raw header is retained.
basal_respiration,базальное дыхание,basal respiration,биологические свойства,biological,mg CO2/kg/day,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
dehydrogenase_activity,дегидрогеназная активность,dehydrogenase activity,биологические свойства,biological,mg TPF/kg/h,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
microbial_biomass_carbon,углерод микробной биомассы,microbial biomass carbon,биологические свойства,biological,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
microbial_biomass_nitrogen,азот микробной биомассы,microbial biomass nitrogen,биологические свойства,biological,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
phosphatase_activity,фосфатазная активность,phosphatase activity,биологические свойства,biological,mg PNP/kg/h,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
urease_activity,уреазная активность,urease activity,биологические свойства,biological,mg NH4-N/kg/h,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
arsenic,мышьяк,arsenic,потенциальные загрязнители,contaminant,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
cadmium,кадмий,cadmium,потенциальные загрязнители,contaminant,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
lead,свинец,lead,потенциальные загрязнители,contaminant,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
mercury,ртуть,mercury,потенциальные загрязнители,contaminant,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
selenium,селен,selenium,потенциальные загрязнители,contaminant,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
phosphorus_pentoxide,пентаоксид фосфора (P₂O₅),phosphorus pentoxide (P2O5),элементный и оксидный состав,elemental_oxide,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,"Mass fraction of oxide in ignited sample, as printed in source table."
potassium_oxide,оксид калия (K₂O),potassium oxide (K2O),элементный и оксидный состав,elemental_oxide,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,"Mass fraction of oxide in ignited sample, as printed in source table."
soil_temperature,температура почвы,soil temperature,условия среды,environmental,C,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
aluminium_exchangeable,обменный алюминий,exchangeable aluminium,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
base_saturation,степень насыщенности основаниями,base saturation,обменный комплекс,exchange,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
calcium,кальций,calcium,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
cation_exchange_capacity,ёмкость катионного обмена,cation exchange capacity,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
exchangeable_calcium,обменный кальций,exchangeable calcium,обменный комплекс,exchange,mol(+)/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Exchangeable cation charge basis as printed in source table.
exchangeable_magnesium,обменный магний,exchangeable magnesium,обменный комплекс,exchange,mol(+)/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Exchangeable cation charge basis as printed in source table.
magnesium,магний,magnesium,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
potassium_exchangeable,обменный калий,exchangeable potassium,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
sodium,натрий,sodium,обменный комплекс,exchange,cmolc/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
aluminum_oxide_al2o3,оксид алюминия (Al₂O₃),aluminum oxide Al2O3,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
calcium_oxide_cao,оксид кальция (CaO),calcium oxide CaO,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
iron_oxide_fe2o3,оксид железа (Fe₂O₃),iron oxide Fe2O3,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
magnesium_oxide_mgo,оксид магния (MgO),magnesium oxide MgO,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
potassium_oxide_k2o,оксид калия (K₂O),potassium oxide K2O,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
redox_potential,окислительно-восстановительный потенциал (Eh),redox potential,геохимические свойства,geochemical,mV,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
silicon_dioxide,диоксид кремния (SiO₂),silicon dioxide,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
sodium_oxide_na2o,оксид натрия (Na₂O),sodium oxide Na2O,геохимические свойства,geochemical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Direct-profile Table 1 template; source value and unit retained.
field_capacity,наименьшая влагоёмкость,field capacity,гидрофизические свойства,hydrophysical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
gravimetric_water_content,массовая влажность,gravimetric water content,гидрофизические свойства,hydrophysical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
saturated_hydraulic_conductivity,насыщенная гидравлическая проводимость,saturated hydraulic conductivity,гидрофизические свойства,hydrophysical,cm/day,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
water_holding_capacity,водоудерживающая способность,water holding capacity,гидрофизические свойства,hydrophysical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
wilting_point,влажность завядания,wilting point,гидрофизические свойства,hydrophysical,%,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
ammonium_n,аммонийный азот,ammonium nitrogen,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
available_phosphorus,подвижный фосфор,available phosphorus,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
available_potassium,подвижный калий,available potassium,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
available_sulfur,подвижная сера,available sulfur,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
mineral_nitrogen,минеральный азот,mineral nitrogen,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
nitrate_n,нитратный азот,nitrate nitrogen,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
sulfur,общая сера,sulfur,макроэлементы,macronutrient,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
total_nitrogen,общий азот,total nitrogen,макроэлементы,macronutrient,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,
total_phosphorus,общий фосфор,total phosphorus,макроэлементы,macronutrient,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
total_potassium,общий калий,total potassium,макроэлементы,macronutrient,g/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
boron,бор,boron,микроэлементы,microelement,mg/kg,Значения приводятся к этой единице только обратимыми размерностно корректными преобразованиями; исходная единица сохраняется.,Canonical vocabulary; source observations remain separately evidenced.
